#wavelength = 0.35439
#qmax = 15.0
#qmin = 0.0
#Qdamp = 0.04373
#Lorch = off
#Q, intensity(inelacstic), <f^2>, <f>^2
#
5.0000e-02,1.7249e-02,1.3333e+00,9.8929e-01
1.0000e-01,3.4498e-02,1.3315e+00,9.8799e-01
1.5000e-01,5.1748e-02,1.3286e+00,9.8585e-01
2.0000e-01,6.8997e-02,1.3245e+00,9.8286e-01
2.5000e-01,8.6246e-02,1.3192e+00,9.7905e-01
3.0000e-01,1.0350e-01,1.3129e+00,9.7445e-01
3.5000e-01,1.2074e-01,1.3056e+00,9.6908e-01
4.0000e-01,1.3799e-01,1.2973e+00,9.6297e-01
4.5000e-01,1.5524e-01,1.2881e+00,9.5616e-01
5.0000e-01,1.7249e-01,1.2780e+00,9.4869e-01
5.5000e-01,1.4669e-01,1.2671e+00,9.4059e-01
6.0000e-01,1.4458e-01,1.2556e+00,9.3192e-01
6.5000e-01,1.4091e-01,1.2433e+00,9.2270e-01
7.0000e-01,1.4027e-01,1.2305e+00,9.1300e-01
7.5000e-01,1.4688e-01,1.2172e+00,9.0284e-01
8.0000e-01,1.5780e-01,1.2034e+00,8.9228e-01
8.5000e-01,1.7623e-01,1.1892e+00,8.8136e-01
9.0000e-01,1.9734e-01,1.1747e+00,8.7011e-01
9.5000e-01,2.0597e-01,1.1599e+00,8.5859e-01
1.0000e+00,2.2212e-01,1.1449e+00,8.4683e-01
1.0500e+00,2.4322e-01,1.1296e+00,8.3487e-01
1.1000e+00,2.6658e-01,1.1142e+00,8.2274e-01
1.1500e+00,2.9971e-01,1.0987e+00,8.1048e-01
1.2000e+00,3.3988e-01,1.0832e+00,7.9811e-01
1.2500e+00,3.8974e-01,1.0676e+00,7.8568e-01
1.3000e+00,4.5459e-01,1.0519e+00,7.7320e-01
1.3500e+00,5.2685e-01,1.0363e+00,7.6070e-01
1.4000e+00,6.0651e-01,1.0208e+00,7.4821e-01
1.4500e+00,7.0612e-01,1.0052e+00,7.3574e-01
1.5000e+00,8.1252e-01,9.8982e-01,7.2331e-01
1.5500e+00,9.2269e-01,9.7449e-01,7.1095e-01
1.6000e+00,1.0293e+00,9.5927e-01,6.9867e-01
1.6500e+00,1.1245e+00,9.4418e-01,6.8649e-01
1.7000e+00,1.2057e+00,9.2924e-01,6.7441e-01
1.7500e+00,1.2730e+00,9.1444e-01,6.6244e-01
1.8000e+00,1.3048e+00,8.9981e-01,6.5061e-01
1.8500e+00,1.3018e+00,8.8536e-01,6.3891e-01
1.9000e+00,1.2765e+00,8.7108e-01,6.2735e-01
1.9500e+00,1.2360e+00,8.5700e-01,6.1595e-01
2.0000e+00,1.1913e+00,8.4310e-01,6.0471e-01
2.0500e+00,1.1066e+00,8.2941e-01,5.9362e-01
2.1000e+00,1.0191e+00,8.1592e-01,5.8271e-01
2.1500e+00,9.3396e-01,8.0265e-01,5.7196e-01
2.2000e+00,8.5550e-01,7.8958e-01,5.6139e-01
2.2500e+00,7.8004e-01,7.7673e-01,5.5099e-01
2.3000e+00,7.1926e-01,7.6409e-01,5.4076e-01
2.3500e+00,6.6119e-01,7.5168e-01,5.3072e-01
2.4000e+00,6.1563e-01,7.3948e-01,5.2085e-01
2.4500e+00,5.8034e-01,7.2750e-01,5.1116e-01
2.5000e+00,5.5450e-01,7.1574e-01,5.0165e-01
2.5500e+00,5.2798e-01,7.0420e-01,4.9232e-01
2.6000e+00,5.0660e-01,6.9288e-01,4.8316e-01
2.6500e+00,4.9302e-01,6.8178e-01,4.7418e-01
2.7000e+00,4.8486e-01,6.7089e-01,4.6538e-01
2.7500e+00,4.7851e-01,6.6021e-01,4.5675e-01
2.8000e+00,4.7323e-01,6.4975e-01,4.4829e-01
2.8500e+00,4.6932e-01,6.3949e-01,4.4000e-01
2.9000e+00,4.6345e-01,6.2945e-01,4.3188e-01
2.9500e+00,4.6454e-01,6.1960e-01,4.2392e-01
3.0000e+00,4.6313e-01,6.0996e-01,4.1613e-01
3.0500e+00,4.5717e-01,6.0051e-01,4.0850e-01
3.1000e+00,4.5730e-01,5.9126e-01,4.0103e-01
3.1500e+00,4.5898e-01,5.8220e-01,3.9371e-01
3.2000e+00,4.6135e-01,5.7333e-01,3.8655e-01
3.2500e+00,4.6545e-01,5.6464e-01,3.7954e-01
3.3000e+00,4.7157e-01,5.5613e-01,3.7267e-01
3.3500e+00,4.7685e-01,5.4780e-01,3.6596e-01
3.4000e+00,4.7861e-01,5.3964e-01,3.5938e-01
3.4500e+00,4.7925e-01,5.3164e-01,3.5295e-01
3.5000e+00,4.8494e-01,5.2381e-01,3.4665e-01
3.5500e+00,4.8795e-01,5.1614e-01,3.4049e-01
3.6000e+00,4.8391e-01,5.0863e-01,3.3446e-01
3.6500e+00,4.8358e-01,5.0127e-01,3.2855e-01
3.7000e+00,4.8162e-01,4.9406e-01,3.2278e-01
3.7500e+00,4.7963e-01,4.8699e-01,3.1712e-01
3.8000e+00,4.7510e-01,4.8006e-01,3.1159e-01
3.8500e+00,4.7171e-01,4.7327e-01,3.0617e-01
3.9000e+00,4.6675e-01,4.6661e-01,3.0087e-01
3.9500e+00,4.6318e-01,4.6008e-01,2.9568e-01
4.0000e+00,4.5784e-01,4.5368e-01,2.9060e-01
4.0500e+00,4.5443e-01,4.4739e-01,2.8563e-01
4.1000e+00,4.5240e-01,4.4123e-01,2.8076e-01
4.1500e+00,4.4729e-01,4.3518e-01,2.7599e-01
4.2000e+00,4.4340e-01,4.2924e-01,2.7132e-01
4.2500e+00,4.4261e-01,4.2341e-01,2.6675e-01
4.3000e+00,4.4171e-01,4.1768e-01,2.6228e-01
4.3500e+00,4.4221e-01,4.1205e-01,2.5790e-01
4.4000e+00,4.4419e-01,4.0653e-01,2.5361e-01
4.4500e+00,4.4495e-01,4.0110e-01,2.4940e-01
4.5000e+00,4.4763e-01,3.9576e-01,2.4528e-01
4.5500e+00,4.4799e-01,3.9051e-01,2.4125e-01
4.6000e+00,4.4730e-01,3.8536e-01,2.3730e-01
4.6500e+00,4.4656e-01,3.8028e-01,2.3343e-01
4.7000e+00,4.4571e-01,3.7529e-01,2.2964e-01
4.7500e+00,4.4605e-01,3.7038e-01,2.2592e-01
4.8000e+00,4.4626e-01,3.6555e-01,2.2228e-01
4.8500e+00,4.4288e-01,3.6080e-01,2.1871e-01
4.9000e+00,4.3840e-01,3.5612e-01,2.1521e-01
4.9500e+00,4.3430e-01,3.5151e-01,2.1178e-01
5.0000e+00,4.2926e-01,3.4697e-01,2.0842e-01
5.0500e+00,4.2184e-01,3.4250e-01,2.0513e-01
5.1000e+00,4.1339e-01,3.3810e-01,2.0190e-01
5.1500e+00,4.0424e-01,3.3376e-01,1.9873e-01
5.2000e+00,3.9195e-01,3.2949e-01,1.9563e-01
5.2500e+00,3.7815e-01,3.2528e-01,1.9259e-01
5.3000e+00,3.6048e-01,3.2113e-01,1.8960e-01
5.3500e+00,3.4592e-01,3.1704e-01,1.8668e-01
5.4000e+00,3.3032e-01,3.1301e-01,1.8381e-01
5.4500e+00,3.1616e-01,3.0904e-01,1.8099e-01
5.5000e+00,3.0274e-01,3.0512e-01,1.7823e-01
5.5500e+00,2.9179e-01,3.0125e-01,1.7553e-01
5.6000e+00,2.8234e-01,2.9745e-01,1.7287e-01
5.6500e+00,2.7458e-01,2.9369e-01,1.7027e-01
5.7000e+00,2.6934e-01,2.8998e-01,1.6771e-01
5.7500e+00,2.6419e-01,2.8633e-01,1.6520e-01
5.8000e+00,2.5984e-01,2.8272e-01,1.6274e-01
5.8500e+00,2.5714e-01,2.7917e-01,1.6033e-01
5.9000e+00,2.5488e-01,2.7566e-01,1.5796e-01
5.9500e+00,2.5323e-01,2.7220e-01,1.5564e-01
6.0000e+00,2.5129e-01,2.6879e-01,1.5336e-01
6.0500e+00,2.4984e-01,2.6542e-01,1.5112e-01
6.1000e+00,2.4883e-01,2.6210e-01,1.4892e-01
6.1500e+00,2.4746e-01,2.5883e-01,1.4677e-01
6.2000e+00,2.4625e-01,2.5559e-01,1.4465e-01
6.2500e+00,2.4495e-01,2.5240e-01,1.4257e-01
6.3000e+00,2.4377e-01,2.4926e-01,1.4053e-01
6.3500e+00,2.4269e-01,2.4615e-01,1.3853e-01
6.4000e+00,2.4065e-01,2.4309e-01,1.3657e-01
6.4500e+00,2.3884e-01,2.4007e-01,1.3464e-01
6.5000e+00,2.3682e-01,2.3709e-01,1.3274e-01
6.5500e+00,2.3452e-01,2.3415e-01,1.3088e-01
6.6000e+00,2.3206e-01,2.3125e-01,1.2905e-01
6.6500e+00,2.2925e-01,2.2838e-01,1.2726e-01
6.7000e+00,2.2645e-01,2.2556e-01,1.2550e-01
6.7500e+00,2.2302e-01,2.2277e-01,1.2377e-01
6.8000e+00,2.1924e-01,2.2003e-01,1.2207e-01
6.8500e+00,2.1533e-01,2.1732e-01,1.2040e-01
6.9000e+00,2.1126e-01,2.1464e-01,1.1876e-01
6.9500e+00,2.0695e-01,2.1201e-01,1.1715e-01
7.0000e+00,2.0262e-01,2.0940e-01,1.1557e-01
7.0500e+00,1.9812e-01,2.0684e-01,1.1401e-01
7.1000e+00,1.9394e-01,2.0431e-01,1.1249e-01
7.1500e+00,1.9036e-01,2.0181e-01,1.1099e-01
7.2000e+00,1.8678e-01,1.9935e-01,1.0951e-01
7.2500e+00,1.8379e-01,1.9692e-01,1.0806e-01
7.3000e+00,1.8123e-01,1.9453e-01,1.0664e-01
7.3500e+00,1.7898e-01,1.9217e-01,1.0524e-01
