#wavelength = 0.35439
#qmax = 15.0
#qmin = 0.0
#Qdamp = 0.04373
#Lorch = off
#Q, intensity(inelacstic), <f^2>, <f>^2
#
5.0000e-02,5.8248e-02,1.5630e+00,9.7763e-01
1.0000e-01,1.1650e-01,1.5609e+00,9.7638e-01
1.5000e-01,1.7474e-01,1.5576e+00,9.7431e-01
2.0000e-01,2.3299e-01,1.5530e+00,9.7143e-01
2.5000e-01,2.9124e-01,1.5471e+00,9.6775e-01
3.0000e-01,3.4949e-01,1.5400e+00,9.6331e-01
3.5000e-01,4.0773e-01,1.5317e+00,9.5813e-01
4.0000e-01,4.6598e-01,1.5224e+00,9.5225e-01
4.5000e-01,5.2423e-01,1.5121e+00,9.4569e-01
5.0000e-01,5.8248e-01,1.5009e+00,9.3849e-01
5.5000e-01,5.2217e-01,1.4889e+00,9.3070e-01
6.0000e-01,4.8616e-01,1.4760e+00,9.2236e-01
6.5000e-01,4.6304e-01,1.4625e+00,9.1350e-01
7.0000e-01,4.4315e-01,1.4484e+00,9.0417e-01
7.5000e-01,4.3127e-01,1.4338e+00,8.9441e-01
8.0000e-01,4.2753e-01,1.4187e+00,8.8427e-01
8.5000e-01,4.2688e-01,1.4032e+00,8.7377e-01
9.0000e-01,4.2874e-01,1.3873e+00,8.6297e-01
9.5000e-01,4.3616e-01,1.3712e+00,8.5189e-01
1.0000e+00,4.4879e-01,1.3548e+00,8.4058e-01
1.0500e+00,4.6661e-01,1.3382e+00,8.2907e-01
1.1000e+00,4.8761e-01,1.3215e+00,8.1738e-01
1.1500e+00,5.1364e-01,1.3046e+00,8.0556e-01
1.2000e+00,5.4575e-01,1.2877e+00,7.9364e-01
1.2500e+00,5.9337e-01,1.2707e+00,7.8162e-01
1.3000e+00,6.5756e-01,1.2536e+00,7.6956e-01
1.3500e+00,7.4116e-01,1.2366e+00,7.5746e-01
1.4000e+00,8.3919e-01,1.2196e+00,7.4534e-01
1.4500e+00,9.5062e-01,1.2026e+00,7.3324e-01
1.5000e+00,1.0703e+00,1.1856e+00,7.2117e-01
