#wavelength = 0.3494
#qmax = 15.0
#qmin = 0
#Qdamp = 0.04373
#Lorch = off
#Q, intensity(inelacstic), <f^2>, <f>^2
#
5.0000e-02,-8.9435e-03,1.5844e+00,9.6986e-01
1.0000e-01,-1.7887e-02,1.5824e+00,9.6862e-01
1.5000e-01,-2.6831e-02,1.5790e+00,9.6656e-01
2.0000e-01,-3.5774e-02,1.5743e+00,9.6370e-01
2.5000e-01,-4.4718e-02,1.5683e+00,9.6005e-01
3.0000e-01,-5.3661e-02,1.5611e+00,9.5564e-01
3.5000e-01,-6.2605e-02,1.5527e+00,9.5050e-01
4.0000e-01,-7.1548e-02,1.5433e+00,9.4466e-01
4.5000e-01,-8.0492e-02,1.5329e+00,9.3815e-01
5.0000e-01,-8.9435e-02,1.5215e+00,9.3102e-01
5.5000e-01,-9.8379e-02,1.5093e+00,9.2331e-01
6.0000e-01,-1.1089e-01,1.4963e+00,9.1505e-01
6.5000e-01,-1.0919e-01,1.4827e+00,9.0628e-01
7.0000e-01,-1.0201e-01,1.4685e+00,8.9706e-01
7.5000e-01,-9.0090e-02,1.4537e+00,8.8741e-01
8.0000e-01,-6.6090e-02,1.4384e+00,8.7738e-01
8.5000e-01,-3.8548e-02,1.4228e+00,8.6702e-01
9.0000e-01,-9.0770e-03,1.4068e+00,8.5636e-01
9.5000e-01,2.4593e-02,1.3906e+00,8.4543e-01
1.0000e+00,5.9688e-02,1.3741e+00,8.3427e-01
1.0500e+00,9.4697e-02,1.3574e+00,8.2292e-01
1.1000e+00,1.3419e-01,1.3406e+00,8.1141e-01
1.1500e+00,1.7802e-01,1.3237e+00,7.9976e-01
1.2000e+00,2.2346e-01,1.3066e+00,7.8801e-01
1.2500e+00,2.7780e-01,1.2896e+00,7.7617e-01
1.3000e+00,3.4220e-01,1.2725e+00,7.6429e-01
1.3500e+00,4.2143e-01,1.2553e+00,7.5237e-01
1.4000e+00,5.1423e-01,1.2382e+00,7.4044e-01
1.4500e+00,6.2620e-01,1.2212e+00,7.2852e-01
1.5000e+00,7.6219e-01,1.2041e+00,7.1663e-01
1.5500e+00,9.1959e-01,1.1872e+00,7.0478e-01
1.6000e+00,1.1001e+00,1.1703e+00,6.9299e-01
1.6500e+00,1.2962e+00,1.1535e+00,6.8128e-01
1.7000e+00,1.4879e+00,1.1368e+00,6.6965e-01
1.7500e+00,1.6555e+00,1.1203e+00,6.5812e-01
1.8000e+00,1.7739e+00,1.1038e+00,6.4670e-01
1.8500e+00,1.8293e+00,1.0875e+00,6.3540e-01
1.9000e+00,1.8120e+00,1.0714e+00,6.2423e-01
1.9500e+00,1.7253e+00,1.0554e+00,6.1319e-01
2.0000e+00,1.5952e+00,1.0396e+00,6.0229e-01
2.0500e+00,1.4443e+00,1.0240e+00,5.9154e-01
2.1000e+00,1.2952e+00,1.0086e+00,5.8095e-01
2.1500e+00,1.1604e+00,9.9337e-01,5.7051e-01
2.2000e+00,1.0457e+00,9.7835e-01,5.6024e-01
2.2500e+00,9.5029e-01,9.6353e-01,5.5013e-01
2.3000e+00,8.7636e-01,9.4894e-01,5.4018e-01
2.3500e+00,8.2250e-01,9.3456e-01,5.3041e-01
2.4000e+00,7.8536e-01,9.2041e-01,5.2081e-01
2.4500e+00,7.6263e-01,9.0648e-01,5.1137e-01
2.5000e+00,7.4909e-01,8.9278e-01,5.0212e-01
2.5500e+00,7.4461e-01,8.7932e-01,4.9303e-01
2.6000e+00,7.4294e-01,8.6608e-01,4.8411e-01
2.6500e+00,7.3722e-01,8.5308e-01,4.7537e-01
2.7000e+00,7.2312e-01,8.4032e-01,4.6680e-01
2.7500e+00,7.0065e-01,8.2778e-01,4.5840e-01
2.8000e+00,6.7383e-01,8.1548e-01,4.5017e-01
2.8500e+00,6.4910e-01,8.0341e-01,4.4210e-01
2.9000e+00,6.2837e-01,7.9157e-01,4.3420e-01
2.9500e+00,6.1275e-01,7.7996e-01,4.2646e-01
3.0000e+00,6.0288e-01,7.6857e-01,4.1888e-01
3.0500e+00,5.9746e-01,7.5741e-01,4.1146e-01
3.1000e+00,5.9911e-01,7.4646e-01,4.0420e-01
3.1500e+00,6.0084e-01,7.3574e-01,3.9709e-01
3.2000e+00,6.0595e-01,7.2522e-01,3.9013e-01
3.2500e+00,6.1484e-01,7.1491e-01,3.8333e-01
3.3000e+00,6.2590e-01,7.0481e-01,3.7666e-01
3.3500e+00,6.3776e-01,6.9492e-01,3.7014e-01
3.4000e+00,6.4913e-01,6.8522e-01,3.6376e-01
3.4500e+00,6.5885e-01,6.7571e-01,3.5752e-01
3.5000e+00,6.6666e-01,6.6639e-01,3.5141e-01
3.5500e+00,6.7211e-01,6.5726e-01,3.4544e-01
3.6000e+00,6.7564e-01,6.4830e-01,3.3959e-01
3.6500e+00,6.7732e-01,6.3952e-01,3.3387e-01
3.7000e+00,6.7145e-01,6.3092e-01,3.2827e-01
3.7500e+00,6.6485e-01,6.2248e-01,3.2279e-01
3.8000e+00,6.5713e-01,6.1420e-01,3.1742e-01
3.8500e+00,6.4676e-01,6.0608e-01,3.1217e-01
3.9000e+00,6.3507e-01,5.9811e-01,3.0704e-01
